Crash ID,State,Month,Year,Dayweek,Time,Crash_Type,Number_of_Fatalities,Bus_Involvement,Rigid_Truck_Involvement,Articulated_Truck_Involvement ,Speed_Limit,National_Remoteness_Region,SA4_Name_2016,LGA_Name_2017,National_Road_Type,Christmas_Period,Easter_Period
20171002,NSW,December,2017,Thursday,11:50,Single vehicle,2,No,No,No,100,Outer Regional Australia,Riverina,Murrumbidgee,Arterial Road,No,No
20171025,NSW,December,2017,Friday,17:00,Multiple vehicle,1,No,No,No,50,Major Cities of Australia,Sydney - Parramatta,Parramatta,Collector Road,No,No
20171027,NSW,December,2017,Thursday,08:57,Multiple vehicle,1,No,No,Yes,110,Inner Regional Australia,Capital Region,Upper Lachlan,National Or State Highway,Yes,No
20171048,NSW,December,2017,Sunday,14:45,Single vehicle,1,No,No,No,80,Major Cities of Australia,Sydney - Blacktown,Blacktown,Local Road,No,No
20171067,NSW,December,2017,Tuesday,22:50,Multiple vehicle,1,No,Yes,No,60,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Local Road,Yes,No
20171079,NSW,December,2017,Friday,17:25,Multiple vehicle,1,No,No,No,100,Inner Regional Australia,Richmond - Tweed,Lismore,Arterial Road,No,No
20171081,NSW,December,2017,Friday,11:00,Pedestrian,1,No,No,No,60,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,Collector Road,No,No
20171088,NSW,December,2017,Monday,10:15,Multiple vehicle,1,No,No,No,70,Major Cities of Australia,Central Coast,Central Coast,National Or State Highway,Yes,No
20171091,NSW,December,2017,Monday,16:18,Multiple vehicle,2,No,No,No,100,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National Or State Highway,No,No
20171092,NSW,December,2017,Sunday,20:55,Multiple vehicle,1,No,No,No,50,Major Cities of Australia,Sydney - Inner South West,Bayside,Collector Road,No,No
20171128,NSW,December,2017,Thursday,22:07,Single vehicle,1,No,No,No,50,Major Cities of Australia,Capital Region,Queanbeyan-Palerang Regional,Local Road,Yes,No
20171133,NSW,December,2017,Tuesday,17:00,Single vehicle,1,No,No,No,110,Inner Regional Australia,Mid North Coast,Mid-Coast,National Or State Highway,Yes,No
20171147,NSW,December,2017,Monday,06:00,Single vehicle,1,No,No,No,100,Inner Regional Australia,Hunter Valley exc Newcastle,Maitland,Arterial Road,No,No
20171148,NSW,December,2017,Saturday,14:25,Single vehicle,1,No,No,Yes,100,Outer Regional Australia,Far West and Orana,Gilgandra,National Or State Highway,No,No
20171150,NSW,December,2017,Saturday,19:19,Single vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road,No,No
20171153,NSW,December,2017,Tuesday,10:40,Multiple vehicle,5,No,No,No,100,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,National Or State Highway,Yes,No
20171174,NSW,December,2017,Saturday,22:13,Multiple vehicle,1,No,No,No,90,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,National Or State Highway,No,No
20171180,NSW,December,2017,Sunday,14:27,Single vehicle,1,No,No,No,100,Outer Regional Australia,Riverina,Junee,Arterial Road,No,No
20171189,NSW,December,2017,Monday,06:00,Single vehicle,1,No,No,No,100,Outer Regional Australia,Riverina,Griffith,Arterial Road,Yes,No
20171228,NSW,December,2017,Friday,19:10,Single vehicle,1,No,No,No,50,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Local Road,No,No
20171241,NSW,December,2017,Saturday,02:00,Multiple vehicle,1,No,No,No,100,Inner Regional Australia,Newcastle and Lake Macquarie,Lake Macquarie,National Or State Highway,No,No
20171243,NSW,December,2017,Friday,18:00,Single vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Inverell,Arterial Road,No,No
20171275,NSW,December,2017,Saturday,14:30,Single vehicle,1,No,No,No,100,Outer Regional Australia,Coffs Harbour - Grafton,Bellingen,Arterial Road,Yes,No
20171278,NSW,December,2017,Saturday,02:30,Single vehicle,1,No,No,No,80,Major Cities of Australia,Sydney - Blacktown,Blacktown,Collector Road,No,No
20171282,NSW,December,2017,Tuesday,16:15,Multiple vehicle,1,No,Yes,No,50,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,Local Road,No,No
20171283,NSW,December,2017,Saturday,05:45,Single vehicle,1,No,No,No,50,Outer Regional Australia,Riverina,Narrandera,Arterial Road,No,No
20171287,NSW,December,2017,Thursday,23:00,Pedestrian,1,No,No,No,60,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Sub-Arterial Road,No,No
20171288,NSW,December,2017,Monday,15:45,Single vehicle,1,No,No,No,100,Inner Regional Australia,Hunter Valley exc Newcastle,Dungog,Arterial Road,No,No
20171289,NSW,December,2017,Saturday,22:45,Multiple vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Walcha,Sub-Arterial Road,Yes,No
20171292,NSW,December,2017,Thursday,12:15,Multiple vehicle,1,No,No,No,100,Outer Regional Australia,Central West,Mid-Western Regional,National Or State Highway,No,No
20171310,NSW,December,2017,Saturday,11:30,Single vehicle,1,No,No,No,100,Outer Regional Australia,Far West and Orana,Narromine,Local Road,Yes,No
20171311,NSW,December,2017,Tuesday,04:45,Single vehicle,1,No,No,No,80,Outer Regional Australia,Mid North Coast,Port Macquarie-Hastings,Sub-Arterial Road,Yes,No
20171313,NSW,December,2017,Saturday,20:25,Single vehicle,1,No,No,No,100,Outer Regional Australia,Far West and Orana,Cabonne,Sub-Arterial Road,No,No
20171338,NSW,December,2017,Sunday,11:05,Single vehicle,1,No,No,No,100,Remote Australia,Far West and Orana,Bogan,Arterial Road,No,No
20171008,NSW,November,2017,Friday,02:50,Multiple vehicle,1,No,No,No,50,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Local Road,No,No
20171012,NSW,November,2017,Tuesday,05:05,Single vehicle,1,No,No,No,100,Inner Regional Australia,Mid North Coast,Mid-Coast,National Or State Highway,No,No
20171019,NSW,November,2017,Monday,18:30,Multiple vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - Eastern Suburbs,Woollahra,Arterial Road,No,No
20171034,NSW,November,2017,Saturday,15:55,Single vehicle,1,No,No,No,50,Inner Regional Australia,Mid North Coast,Mid-Coast,Local Road,No,No
20171035,NSW,November,2017,Saturday,11:30,Multiple vehicle,1,No,No,No,80,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Local Road,No,No
20171059,NSW,November,2017,Sunday,18:40,Multiple vehicle,1,No,No,No,100,Outer Regional Australia,Central West,Forbes,Sub-Arterial Road,No,No
20171063,NSW,November,2017,Wednesday,12:00,Single vehicle,1,No,No,No,100,Outer Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Arterial Road,No,No
20171082,NSW,November,2017,Saturday,15:00,Multiple vehicle,1,No,No,No,50,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Local Road,No,No
20171099,NSW,November,2017,Wednesday,07:10,Multiple vehicle,1,No,No,No,80,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road,No,No
20171109,NSW,November,2017,Tuesday,16:38,Single vehicle,1,No,No,No,100,Outer Regional Australia,Capital Region,Snowy Monaro Regional,National Or State Highway,No,No
20171110,NSW,November,2017,Wednesday,13:30,Pedestrian,1,No,No,Yes,110,Inner Regional Australia,Capital Region,Yass Valley,National Or State Highway,No,No
20171111,NSW,November,2017,Thursday,14:45,Multiple vehicle,1,No,No,No,100,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Arterial Road,No,No
20171137,NSW,November,2017,Friday,04:06,Single vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Narrabri,National Or State Highway,No,No
20171145,NSW,November,2017,Sunday,21:15,Single vehicle,1,No,No,No,80,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Sub-Arterial Road,No,No
20171157,NSW,November,2017,Wednesday,06:09,Single vehicle,1,No,No,No,100,Outer Regional Australia,Coffs Harbour - Grafton,Bellingen,Arterial Road,No,No
20171161,NSW,November,2017,Friday,12:45,Pedestrian,1,No,No,No,60,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,National Or State Highway,No,No
20171163,NSW,November,2017,Friday,08:22,Multiple vehicle,1,No,No,No,100,Outer Regional Australia,Riverina,Leeton,Sub-Arterial Road,No,No
20171176,NSW,November,2017,Sunday,17:50,Single vehicle,2,No,No,No,110,Outer Regional Australia,Murray,Edward River,National Or State Highway,No,No
20171185,NSW,November,2017,Saturday,15:00,Pedestrian,1,No,No,No,60,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Local Road,No,No
20171193,NSW,November,2017,Saturday,23:00,Single vehicle,1,No,No,No,80,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Arterial Road,No,No
20171202,NSW,November,2017,Monday,17:47,Multiple vehicle,2,No,Yes,No,100,Remote Australia,Central West,Lachlan,Arterial Road,No,No
20171206,NSW,November,2017,Sunday,09:45,Single vehicle,1,No,No,No,80,Inner Regional Australia,Richmond - Tweed,Tweed,Local Road,No,No
20171207,NSW,November,2017,Wednesday,08:10,Multiple vehicle,1,No,Yes,No,100,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National Or State Highway,No,No
20171212,NSW,November,2017,Wednesday,14:50,Multiple vehicle,1,No,No,No,80,Inner Regional Australia,Sydney - Sutherland,Sutherland,Sub-Arterial Road,No,No
20171220,NSW,November,2017,Sunday,05:55,Single vehicle,1,No,No,No,110,Outer Regional Australia,Far West and Orana,Narromine,National Or State Highway,No,No
20171226,NSW,November,2017,Thursday,21:30,Single vehicle,1,No,No,No,100,Inner Regional Australia,Mid North Coast,Mid-Coast,Sub-Arterial Road,No,No
20171232,NSW,November,2017,Tuesday,13:37,Multiple vehicle,2,No,No,No,80,Major Cities of Australia,Sydney - South West,Penrith,Arterial Road,No,No
20171267,NSW,November,2017,Sunday,17:34,Pedestrian,2,No,No,No,110,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,National Or State Highway,No,No
20171321,NSW,November,2017,Sunday,12:31,Multiple vehicle,1,No,No,No,80,Outer Regional Australia,Riverina,Snowy Valleys,Sub-Arterial Road,No,No
20171329,NSW,November,2017,Monday,22:51,Single vehicle,1,No,No,No,80,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Arterial Road,No,No
20171331,NSW,November,2017,Saturday,11:10,Pedestrian,1,No,No,No,40,Inner Regional Australia,Illawarra,Kiama,Sub-Arterial Road,No,No
20171337,NSW,November,2017,Tuesday,22:14,Single vehicle,1,No,No,No,50,Major Cities of Australia,Central Coast,Central Coast,Collector Road,No,No
20171340,NSW,November,2017,Sunday,00:10,Multiple vehicle,1,No,No,No,70,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No
20171346,NSW,November,2017,Wednesday,15:50,Multiple vehicle,1,No,No,No,100,Inner Regional Australia,Central West,Bathurst Regional,Arterial Road,No,No
20171030,NSW,October,2017,Sunday,10:10,Pedestrian,1,No,No,Yes,50,Outer Regional Australia,Central West,Parkes,Local Road,No,No
20171033,NSW,October,2017,Sunday,14:15,Multiple vehicle,1,No,No,No,80,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,National Or State Highway,No,No
20171038,NSW,October,2017,Monday,10:00,Multiple vehicle,1,No,No,No,50,Inner Regional Australia,Riverina,Wagga Wagga,Local Road,No,No
